name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,description
Watto,137,NA,black,"blue, grey",yellow,NA,male,Toydaria,Toydarian,"Watto was a male Toydarian junk dealer/Human trafficker, who owned a shop in Mos Espa, Tatooine. In his youth, he served as a soldier in the Ossiki Confederacy Army on his homeworld of Toydaria, but later left after sustaining permanently damaging injuries. Making his way to Tatooine, he fell in with the Jawa natives of the planet, and learned how to trade from them. Once he felt he had learned all he could, he abandoned the Jawas, and set up Watto's Shop in Mos Espa. He became one of Tatooine's many slave owners, and made a lucrative business for himself. Eventually, he came into possession of a young slave, Anakin Skywalker, who proved to be a gifted mechanic, and an invaluable asset to the running of the store. Soon enough, Watto discovered that the boy had an affinity for podracing.

Watto would often bet on the podraces, and was an avid fan, so he had Anakin race for him in several tournaments. Although the boy never won, he was clearly gifted. During one particular race, Anakin destroyed Watto's own podracer, which incurred the Toydarian's wrath. Shortly thereafter, a stranger to Mos Espa, Qui-Gon Jinn, claimed that he had his own podracer, and that he wanted Anakin to fly it in the Boonta Eve Classic. Watto conceded to the deal, but decided to bet against Anakin, instead investing in the Dug Sebulba. Jinn took the bet, wagering his ship against Anakin's freedom. Ultimately, Anakin won the race, and Watto was left with very little. His business declined, and he eventually had to sell Anakin's mother, Shmi Skywalker. Watto stayed in business until the Galactic Civil War, when he handed over ownership of his shop to his assistant, W. Wald."
Sebulba,112,40,none,"grey, red",orange,NA,male,Malastare,Dug,"Sebulba was a male Dug who hailed from the planet of Malastare. A vicious podracer pilot who flew a massive orange podracer with a split-x configuration, Sebulba would often bump and smash his way through the competition. A skilled pilot in his own right, he nonetheless opted to install various illegal weapons on his podracer, such as a flamethrower built into the left engine, to ensure his victories on the track. The crowd favorite of a course known as the Boonta Eve Classic, located on the Outer Rim planet of Tatooine, Sebulba maintained a strong rivalry with one of podracings few human participants, a young boy named Anakin Skywalker. A short while after the Invasion of Naboo, Sebulba and Skywalker competed in a Boonta race together.

Early in the race, Sebulba bested the competitor Mawhonic, before snuffing out more pilots during the second lap. After several more close calls, Sebulba and Skywalker eventually raced into the third lap neck and neck. The Dug nearly dispatched Skywalker near the end of the lap, but the Human regained his ground. The two continued the battle for first place until Sebulba crashed into the desert sands after his cockpit got tangled with Skywalker's engines. The wreck paved the way to victory lane for Skywalker, which earned the boy his freedom from slavery. Sebulba survived his wreck and continued to race into the Clone Wars. Sometime later Sebulba abandoned podracing and began a career in battle-racing."
Quarsh Panaka,183,NA,black,dark,brown,62BBY,male,Naboo,NA,"Quarsh Panaka was a Human male who served as the head of the Royal Naboo Security Forces before, during, and after the Invasion of Naboo, and later was the Moff for the Chommell sector during the Galactic Civil War. He was a vocal militarist among the peaceful people of Naboo, a fish out of water amongst his peers. Shaken by the murder of King Ars Veruna, he installed various security measures to make sure that the same thing did not happen to his second monarch, Queen Padmé Amidala. By learning from the mistakes of his predecessor, Maris Magneta, he was able to successfully defend her in several periods of danger, and continued to serve Naboo, the Republic, and eventually, the Empire.

Notoriously conservative, Panaka often clashed with the Jedi Master Qui-Gon Jinn during the Invasion of Naboo, deriding the Jedi's controversial methods and retaining the utmost faith in his own. Nevertheless, with Jinn's help he was able to get his chance at military action, in the Battle of Naboo. Panaka thereafter became a staunch supporter of Supreme Chancellor Palpatine and the New Order of the Galactic Empire, rising to the position of Moff of his home sector with Palpatine's patronage."
Shmi Skywalker,163,NA,black,fair,brown,72BBY,female,Tatooine,Human,"Shmi Skywalker Lars, formerly known as Shmi Skywalker, was a human female who lived in slavery on the planet Tatooine during the last years of the Galactic Republic. During her time as a slave, she gave birth to a child called Anakin Skywalker. In 32 BBY her son was discovered by Jedi Master Qui-Gon Jinn, who found the boy to be unusually strong with the Force. He learned through Shmi that there was no father involved in Anakin's conception, leading Jinn to believe that Anakin was conceived by the midi-chlorians. With Shmi's support, Anakin was taken by Jinn to the Jedi Temple on Coruscant and presented to the leaders of the Jedi Order as the Chosen One—the one who was destined to restore balance to the Force, according to Jedi prophecy.

After Anakin left Tatooine to begin his Jedi training, Shmi married Cliegg Lars—a moisture farmer who freed her from slavery—and became a loving stepmother to his son, Owen Lars. Her chance to see Anakin one last time came when, in the waning days of the Separatist Crisis, Shmi was abducted and subjected to torture by a group of Tusken Raiders in 22 BBY. By then, her son had returned to Tatooine as a Jedi Padawan. Having seen her son again, Shmi told him she was complete but died in his arms. Unable to prevent his mother's demise, Anakin gave into the dark side of the Force and massacred the Tusken Raiders, including their women and children, and buried his mother at the Lars moisture farm. Shortly after Shmi's death, her son went on to become a Jedi Knight, as well as a general in the Grand Army of the Republic during the galaxy-wide conflict known as the Clone Wars. The loss of his mother also pushed him to desire the ability to save his loved ones from death, which ultimately pushed Skywalker to become Darth Sidious's Sith apprentice."
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,Zabrak,"Maul, once known as Darth Maul, was a Force-sensitive Dathomirian Zabrak male who established himself as a crime lord during the reign of the Galactic Empire. Once, however, he was the Sith apprentice of Darth Sidious, and therefore, a Dark Lord of the Sith. Having trained in the ways of the Force, Maul was a formidable warrior strong with the dark side and deadly skilled in lightsaber combat. In addition, he was a scheming mastermind who plotted his return to power despite losing his place in the ranks of the Sith.

Born during the era of the Galactic Republic, Maul was the son of Mother Talzin, leader of the Nightsisters of Dathomir, and also had a sibling, the Nightbrother Savage Opress. Sensing Maul's potential, Sidious took Talzin's son as an apprentice while he was still a child. Anointed by his Sith Master as Darth Maul, the Dathomirian was raised to hate the Jedi Knights that served the light side of the Force. Desiring to see the Jedi Order fall, Maul trained for the day when the Sith would exact revenge on their ancient foes. The time for revealing the Sith's continued existence to the Jedi came during the Invasion of Naboo, when Maul confronted Jedi Master Qui-Gon Jinn and Padawan Obi-Wan Kenobi. Though he killed Jinn, Maul was, in turn, defeated by Kenobi, who bisected the Sith assassin at the waist. He was believed to be dead in the aftermath of the battle, but Maul ultimately survived, emerging a decade after his defeat at the height of the Clone Wars.

Despite learning that his Master took a new apprentice, Darth Tyranus, Maul still believed that he was a Sith Lord. Taking his brother as an apprentice, Maul and Opress held that they were the true Sith rather than Sidious and Tyranus. He then devised a scheme to seize power on the planet Mandalore, overthrowing the New Mandalorians and installing the Death Watch as the new ruling government. In addition to the Mandalorians, Maul expanded his criminal enterprise, the Shadow Collective, to include the Pyke Syndicate, Black Sun, and the Hutt Clan. However, as his power increased, Maul became a threat to his former Master's plan, resulting in a confrontation that concluded with Opress's demise and Maul's capture by Sidious. After escaping with the help of his Mandalorian super commandos, Maul resumed his reign on Mandalore until he was overthrown by the Grand Army of the Republic.

Maul survived the end of the Clone Wars, witnessing the Great Jedi Purge of Order 66 and Sidious's rise as Galactic Emperor. Chastened by his former Master on the principle of the Rule of Two, Maul abandoned his claim to the mantle of the Sith, focusing instead on building an empire of his own—the Crimson Dawn—by controlling the criminal underworld. Ultimately though, Maul remained driven by the desire for revenge, specifically against Sidious, the Master who disowned him, and Kenobi, the Jedi who defeated him. During his conflict with the Jedi fugitives Kanan Jarrus and Ezra Bridger, Maul tracked Kenobi to Tatooine, determined to finally end their rivalry for good. Their last lightsaber duel ended when the Jedi Master struck down his old nemesis. Believing that Kenobi had consigned himself to a life of exile to protect the Chosen One, Maul died taking comfort in the belief that he would be avenged once the Sith's prophesied destruction was realized."
Bib Fortuna,180,NA,none,pale,pink,NA,male,Ryloth,Twi'lek,"Bib Fortuna was a male Twi'lek who lived on the desert planet Tatooine. He served as Jabba the Hutt's majordomo and chief of staff for decades, handling all of the day-to-day operations at his master's palace.
A male Twi'lek, Bib Fortuna hailed from Ryloth, the homeworld of his species. He had at least one cousin, Beezer. At some point, Fortuna competed against Bidlo Kwerve to become the majordomo of the Hutt crime lord Jabba Desilijic Tiure. Fortuna also gave Jabba his pet rancor Pateesaas a birthday present. Ultimately, Fortuna succeeded and claimed the job whereas Kwerve ended up as an early victim of the rancor.
He served as Jabba's majordomo as far back as the time of the Invasion of Naboo, in 32 BBY. That year, Fortuna attended the Boonta Eve Classic, which his master hosted to commemorate the Boonta Eve holiday. From his master's private balcony, he witnessed the victory of a local human boy named Anakin Skywalker against the reigning champion Sebulba.

"
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,"Aayla Secura, a Force-sensitive Rutian Twi'lek female, was a Jedi Master who served as a Jedi General of the Grand Army of the Republic during the Clone Wars. Prior to the Clone Wars, Secura learned the ways of the Force as the Padawan of Jedi Master Quinlan Vos. With the outbreak of civil war between the Galactic Republic and the Confederacy of Independent Systems, Secura and her fellow Jedi supported the Republic by becoming officers in its newly-formed military. As a general, she commanded the clone troopers of the 327th Star Corps, with Commander CC-5052 ""Bly"" serving at Secura's side.

Throughout the conflict, Secura fought alongside her soldiers in multiple battles across the galaxy, from Geonosis to Quell, Coruscant, and Felucia. As the war drew to an end, the clones were instructed by Supreme Chancellor Sheev Palpatine to execute Order 66, resulting in a sudden purge of the Jedi Order at the hands of their own troopers. As a result, Secura was among the first casualties of the purge, having been shot in the back repeatedly by Bly and several other clone troopers.

The demise of Secura and many other Jedi was sensed through the Force by Grand Master Yoda, who survived the purge and ultimately escaped into exile, while the Galactic Empire rose to power in place of the Republic. Secura's death was also witnessed in a Force vision by Depa Billaba and her apprentice, Caleb Dume, on Kaller."
Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,Vulpter,Vulptereen,"Dud Bolt was a Vulptereen male hit man and professional Podracer pilot during the waning years of the Galactic Republic. With a battered and scarred Vulptereen 327 Podracer at his disposal, Bolt maintained an aggressive on-course reputation. However, unbeknownst to most, the Vulptereen was employed as a mid-air bodyguard by the notorious Dug pilot and cheat Sebulba.

A competent pilot nevertheless, Bolt scored various race records on the planets of Malastare, Gamorr, Mon Calamari, and Sullust, and was even considered to be the crowd favorite for the Malastare 100 and a second Malastare based course. Bolt had also participated in the Boonta Eve Classic on the desert planet Tatooine at one point, and—alongside Sebulba—later returned to the event again during the year 32 BBY. Shortly before the race, Bolt aided Sebulba in sabotaging the Podracer of rival pilot Mars Guo.

Despite Bolt's and Sebulba's attempts at cheating, neither pilot finished the Boonta, with Bolt colliding into the Nuknog pilot Ark Roose. By the 24 BBY Podracing season, the Glymphid Aldar Beedo replaced Bolt as Sebulba's bodyguard, with both pilots subsequently earning crosshairs on their heads from a vengeful Bolt. The Vulptereen's career continued through 22 BBY, at which point he had furthered his fame to the planet Utapau and made enemies out pilot Clegg Holdfast and the crew of Team Watto."
Gasgano,122,NA,none,"white, blue",black,NA,male,Troiken,Xexto,"A Xexto male, Gasgano performed as a professional podracer pilot, flying a green Ord Pedrovia podracer. Gasgano raced for high-speed thrills, and his four spindly arms made him perfectly suited for racing, able to use all of his arms at once to pilot his pod. Extremely competitive, he disliked the prospect of losing, and joined the Boonta Eve Classic podrace on the desert planet Tatooine, which took place ten years prior to the intergalactic Clone Wars, in order to beat the local champion, the Dug Sebulba. Gasgano's competition also included two-time Boonta winner Boles Roor, returning Boonta competitor Dud Bolt, and the Er'Kit Ody Mandrell, who employed a team of record setting pit droids. Gasgano also had it in his mind to beat the human competitor Anakin Skywalker. The Boonta was held at the Mos Espa Grand Arena, and the Ord Pedrovia was placed in the middle of the third role, next to Roor's podracer, and directly behind Bolt's and Skywalker's racers.
The Troig race announcer Beed, speaking in Huttese, introduced Gasgano and his podracer shortly before the race's host, Jabba the Hutt, announced the official start of the race. The podracers darted off with the exception of two: Skywalker and Ben Quadinaros, both having stalled. It wasn't long before Gasgano was behind the leaders, having overtaken Mandrell, Roor, Bolt, and several other racers. Eventually, Skywalker repaired his podracer and entered the course, and overtook the pilots behind Gasgano. The crafty Xexto attempted to block Skywalker's attempts at passing, but was bested when the Human flew over the Ord Pedrovia following a cliff drop. Gasgano attempted to retake lost ground, and briefly overtook Skywalker after the Human lost a scuffle to Sebulba. However, the lead over Skywalker didn't last long, and Gasgano was trapped behind the two leaders. During the final stretch of the third lap, Sebulba crashed after a second tangle with Skywalker, allowing Gasgano to gain ground and beat at least one more competitor, albeit his last. Ultimately, Skywalker won the Boonta. Gasgano finished in second place."
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,Tund,Toong,"Ben Quadinaros was a Toong podracer pilot who had very little actual racing experience when he participated in the Boonta Eve Classic that saw the liberation of the slave boy Anakin Skywalker. Piloting a BT310 quadra-Podracer, Quadinaros never left the starting grid due to his pod stalling. A short while later, his power coupling failed, causing his engine's energy binders to deactivate. This caused the hapless Toong's engines to spiral away from the cockpit and fly off and explode on various parts of the Mos Espa Grand Arena. Despite this loss, Quadinaros continued to podrace up to ten years later, during the time of the Clone Wars."
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,Human,"Mace Windu, a Force-sensitive human male, was a revered Jedi Master and member of the Jedi High Council during the last years of the Galactic Republic. During his time in the Jedi Order, he once served as elected leader of the Jedi and, during the Clone Wars, as a Jedi General in the Grand Army of the Republic. He was the greatest champion of the Jedi Order and promoted its ancient traditions amidst the growing influence of the dark side of the Force in the corrupt, declining days of the Republic.

When the Separatist Crisis spawned the birth of the Confederacy of Independent Systems and sparked the Clone Wars, Windu and the Jedi rallied to the defense of the Republic and became the leaders of the Grand Army of the Republic. Throughout the war, Windu served the Jedi and the Republic in various capacities—on the battlefield in command of the clone army, on Coruscant as an overseer of the war effort and an advisor to Supreme Chancellor Sheev Palpatine, and even as a diplomat to contested worlds, despite his disdain of politics. His exploits on the frontline served as a reminder of his reputation as a renowned Jedi warrior.

As the war drew to a close, Windu became increasingly suspicious of the chancellor's motives, as Palpatine had amassed near-dictatorial control over the Galactic Senate, and sensed the rising power of the dark side in the galaxy. His suspicions were confirmed when Anakin Skywalker, a Jedi Knight and the Chosen One of ancient prophecy, discovered that Palpatine was Darth Sidious, the Dark Lord of the Sith who manipulated the Republic and the Separatist Alliance into war. Windu, along with Jedi Masters Kit Fisto, Agen Kolar, and Saesee Tiin, confronted Palpatine with the intention of arresting him. Instead, the Dark Lord attacked them, striking them down one by one until only Windu was left. Windu bested Palpatine in the confrontation and—deciding the chancellor was too dangerous to be left alive due to his influence over the government—prepared to strike him down, but the intervention of Anakin Skywalker, who saved the chancellor's life, led to Windu's death. As a result, Skywalker fell to the temptation of the dark side and was renamed Darth Vader.

Windu's actions led Palpatine to brand the Jedi as traitors to the Republic. The chancellor executed Order 66 and clone troopers across the galaxy turned against and killed their Jedi leaders, marking the fall of the Jedi Order. Palpatine transformed the Republic into the Galactic Empire and the Emperor's new regime promoted anti-Jedi sentiment across the galaxy. Through propaganda, the Empire portrayed Windu as the leader of a criminal gang of Jedi who caused the outbreak of the Clone Wars. In spite of the propaganda, some of Windu's actions were remembered with fondness; General Cham Syndulla, who served alongside Windu during the Battle of Ryloth, remembered Windu with great respect and told the tale of how Windu helped him liberate Ryloth during the war."
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,Cerean,"Ki-Adi-Mundi was a Force-sensitive male Cerean Jedi Master of the Jedi Order who served on the High Council in the twilight years of the Galactic Republic and played a major role in several battles during the Clone Wars. Born in 92 BBY, Mundi was discovered at age four by the Jedi An'ya Kuro and became one of the few permitted by the Jedi Order to be trained starting beyond infancy. After more than two decades as a Padawan to Master Yoda, Mundi was named a Jedi Knight and returned to Cerea to liberate his home village from a gang of raiders. Assigned the Jedi Watchman of the Cerean sector, Mundi was granted a rare exception to the Jedi Order's ban on marriage due to his species' low birth rate and had a polygamous family of five wives and seven children, although he tried to avoid developing emotional attachments to them.

Like many Cereans of his generation, Mundi favored his home world's isolation from the galaxy, speaking out against off-worlder technology and encouraging Cerea to maintain their independence from the Republic. Mundi was held in high regard by members of the Jedi High Council, on which he occasionally sat in during the absence of Master Micah Giiett. He was eventually offered a permanent seat on the Council despite not yet having obtained the rank of Jedi Master. Before accepting, Mundi rescued his daughter Sylvn from the captivity of an agent of the crime lord Jabba Desilijic Tiure, and in doing so uncovered a secret Cerean smuggling ring and illegal Trade Federation activities. Shortly after formally joining the Council in 33 BBY, Mundi was sent to seek the lost Jedi Sharad Hett on Tatooine. Following Hett's death, Mundi agreed to continue the Jedi training of his son, A'Sharad Hett.

While Mundi and Hett grew close, the Cerean eventually agreed to turn his training over to Kuro after Hett felt tempted by the dark side of the Force during a lightsaber duel with bounty hunter Aurra Sing. As the Confederacy of Independent Systems uprising threatened the stability of the Republic, Mundi was among the Jedi dispatched to Geonosis in 22 BBY to confront the Separatist Droid Army, marking the beginning of the Clone Wars. Now a Jedi General commanding the Galactic Marines branch of the Grand Army of the Republic, Mundi participated in several major battles, including the battle of Hypori, where he barely survived a lightsaber duel against General Grievous. Mundi's entire family was killed during the Battle of Cerea, but the Jedi overcame his grief by further committing to his Jedi duties. He briefly assumed the Jedi training of Anakin Skywalker following Obi-Wan Kenobi's presumed death.

Mundi also dueled the Dark Jedi Asajj Ventress on Coruscant after exposing a spy from within the Galactic Senate working with her. Along with Kenobi and Luminara Unduli, Mundi led an assault against several Separatist battle droid foundries on Geonosis. Following the assault Mundi earned the ""everlasting respect"" of Anakin Skywalker, as Mundi killed a total of 65 droids and Geonosians during the assault. As the Clone Wars approached conclusion, Mundi suggested to the Jedi High Council that Supreme Chancellor Palpatine may have become too powerful and that the Jedi Order might need to assume control of the Republic for an interim period until a transition of power could commence. Mundi was leading the Galactic Marines to battle on Mygeeto in 19 BBY when Palpatine began the Great Jedi Purge with Order 66, resulting in Mundi being shot to death by his own clone troopers."
Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan,"Kit Fisto was a Nautolan Jedi Master during the last years of the Galactic Republic. Fisto was known as an expert swordsman, having some of the finest dueling skills in the Jedi Order. A celebrated fighter, Fisto served the Republic as a general for the Grand Army of the Republic during the Clone Wars, a galaxy-wide conflict between the Republic and Confederacy of Independent Systems. Fisto fought in various campaigns and over the course of the war was accepted as a member of the Jedi High Council.

Fisto took part in several battles during the early stages of the war, first serving in the opening conflict of the war on Geonosis and shortly thereafter in a covert operation on the planet Hissrich. Following the escape of Separatist leader Nute Gunray from Republic custody, Fisto and his former padawan, Nahdar Vebb, were tasked with tracking down the fugitive. Their mission went awry, however, as they instead ended up facing the notorious Jedi hunter and Separatist General Grievous in his lair. While Vebb perished at the hands of the General, Fisto very nearly bested him in combat, and escaped with his life, but without Gunray, ultimately making the mission a failure.

During a schism between the Mon Calamari and Quarren peoples on Mon Cala, Fisto was sent to aid the Mon Calamari against the Separatist-backed Quarren. The battle proved to be difficult, as the Separatists eventually overpowered the Republic forces. With a Separatist victory looming, Fisto and several others escaped into hiding, though he was eventually captured and tortured. The Mon Calamari and Quarren later rekindled their alliance and repelled the Separatists, aided by the freed Fisto. Following the Mon Cala campaign, Fisto took a more active role on the High Council. As the end of the war drew near, Anakin Skywalker revealed to Mace Windu that Chancellor Palpatine was a Sith Lord. Windu took Fisto and fellow Masters Agen Kolar and Saesee Tiin to Palpatine's office to arrest him. The Dark Lord easily killed Kolar, Tiin, and Fisto within a matter of seconds, with Windu joining them soon after."
Eeth Koth,171,NA,black,brown,brown,NA,male,Iridonia,Zabrak,"Eeth Koth was a male Zabrak Jedi Master, and member of the Jedi High Council during the final years of the Galactic Republic. Iridonian Zabrak such as Eeth Koth were renowned for their mental discipline, which allowed them to tolerate great physical suffering. This ability was born of surviving their harsh environment. Koth was born in the violent slums of Nar Shaddaa, and was deemed too old to begin Jedi training at age four.

His natural abilities were his ticket into the Jedi Order, and Koth would go on to become a leading member of the Jedi Council. Koth participated in the Battle of Geonosis, the opening battle of the Clone Wars, as part of the Geonosis strike team consisting of 212 Jedi. Koth narrowly survived a LAAT gunship crash which took the life of Tarados Gon, and was initially believed to be dead following the battle. After returning to his duties, Koth would go on to lead his men in the Battle of Korriban. A chance encounter with the General of the Separatist Droid Army, Grievous, led to his capture in the Outer Rim. However, using sign language hidden in a holotransmission sent to the Jedi Council by Grievous, Koth led the Republic Navy to his location over Saleucami, where Anakin Skywalker and Adi Gallia freed Koth from his imprisonment, though not without escaping a trap by Grievous."
Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian,"Adi Gallia was a female Tholothian Jedi Master during the twilight years of the Galactic Republic. Gallia was a respected member of the Jedi High Council, who served on that august body in the years leading up to the Clone Wars, as well as some time into that devastating conflict. Though the daughter of Corellian parents, Master Gallia was notable for wearing a traditional Tholoth headdress, suggesting she had ancestors from the planet Tholoth.

As a revered Jedi Master of the High Council, Gallia was naturally an exceptionally skilled member of the Order, who completed several notable assignments during her service to the galaxy. Gallia was a key player in the Stark Hyperspace War and served as the chief negotiator during talks aimed at mending ties between warring factions on Malastare. Gallia also participated in the opening battle of the Clone Wars, where her actions saved countless lives.

Despite her undoubted skill in combat, Master Gallia eventually fell to the blade of Nightbrother Savage Opress while fighting alongside Obi-Wan Kenobi on Florrum in 20 BBY. Kenobi would manage to partially avenge Gallia by using her lightsaber to sever Opress's left arm. She was succeeded on the Jedi Council by her cousin, Stass Allie."
Saesee Tiin,188,NA,none,pale,orange,NA,male,Iktotch,Iktotchi,"Saesee Tiin was a male Iktotchi Jedi Master and a member of the Jedi High Council in the last days of the Galactic Republic. Having apprenticed under the esteemed Jedi Master Omo Bouri, Tiin rarely spoke and kept to himself. Never choosing to take a Padawan himself, Tiin took the rank of Jedi General in the Grand Army of the Republic during the Clone Wars.

Tiin fought in the Stark Hyperspace War in 44 BBY during the fifth battle on Qotile and also participated in the Yinchorri Uprising of 33 BBY. Some time after that, he and other Jedi tracked down the terrorist Nebula Front movement to their base on Asmeru. Tiin fought on many battlefronts during the Clone Wars on planets such as Lola Sayu, Gwori, Boz Pity, Diado, Geonosis, and The Rig.

A renowned starfighter ace, Tiin had been born on Iktotch, the moon of Iktotchon. Because of the battering winds of the moon, Tiin's species had adapted toughened skin and blunt features. Tiin was a starfighter instructor for younglings, where he taught many younglings the basics of flying. A natural telepath, Master Tiin failed to foresee his demise at the hands of the secret Dark Lord of the Sith, Darth Sidious, who in reality, was Supreme Chancellor Palpatine of the Galactic Republic. Tiin's death on Coruscant in 19 BBY alongside that of Mace Windu, Kit Fisto and Agen Kolar to Darth Sidious marked the start of the Great Jedi Purge and Order 66."
Yarael Poof,264,NA,none,white,yellow,NA,male,Quermia,Quermian,"Yarael Poof was a male Quermian Jedi Master and revered member of the Jedi High Council in the years leading up to the Clone Wars. Rather mischievous in his use of the Force, Master Poof was a consummate practitioner of the Affect Mind ability, thus limiting his need to wield his lightsaber.
Sitting on the High Council for years, Poof sacrificed his life in 27 BBY when he drew in the deadly powers of the Infant of Shaa to protect the citizens of Coruscant. His body rejoined the Force through cremation at the Jedi Temple's pyre.
As a Quermian, Poof's unusually long legs, body, and neck caused him to stand some three feet taller than other humanoid species. In addition to his upper arms, Poof had an additional set of delicate arms which he hid under his cloak. Possessing remarkable dexterity because of the extra set of limbs, Poof's sensitive olfactory glands were located in his hands. He had two brains, one located inside his skull and the other in his chest cavity. Out of the four Quermian Jedi enrolled in the Order at the time of the Invasion of Naboo, Poof was the most senior."
Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,Kel Dor,"Plo Koon was a Kel Dor Jedi Master who served as a member of the Jedi High Council during the last years of the Galactic Republic. He served as a respected Jedi General during the Clone Wars, a pan-galactic conflict between the Republic and its splinter state, the Confederacy of Independent Systems. During the war he frequently undertook dangerous missions with the soldiers under his command, the 104th Battalion.

Koon was a survivor of the First Battle of Geonosis, the opening salvo of the Clone Wars that claimed the lives nearly 200 Jedi. Early in the war he embarked on a mission to track down the Separatist warship Malevolence. Following several attempts to destroy the weapon, Koon and several of his peers managed to take it down. Among the Jedi he often worked with was Ahsoka Tano, whom he had discovered years before the war and shared a special bond with. During the war he played vital roles in the First and Second battles of Felucia, the Battle of Lola Sayu, and the Battle of Kadavo. As the conflict thickened, Ahsoka was framed for a terrorist attack on the Jedi Temple and was subsequently removed from the Jedi Order. When the true culprit was discovered, Koon and the Council offered her a chance to rejoin, but she refused and left the Jedi.

In the late stages of the Clone Wars, Koon led the 442nd Siege Battalion in the Battle of Cato Neimoidia. As he and a squadron of ARC-170 starfighters flew over the bridge cities following their victory, he was shot down and executed by his troops during the issuance of Order 66, during which the Jedi were massacred across the galaxy by their soldiers."
Mas Amedda,196,NA,none,blue,blue,NA,male,Champala,Chagrian,"Mas Amedda was a Chagrian male politician who served as the nominal leader of the Coruscant provisional government in the aftermath of the Galactic Civil War. During the Republic Era, he served as Vice Chair of the Galactic Senate from the chancellery of Finis Valorum to Sheev Palpatine. Amedda became the Grand Vizier of the Galactic Empire after Palpatine declared himself Galactic Emperor.

Amedda was from the planet Champala. He lived on the Core World Coruscant, capital of the Galactic Republic, where he served in Chancellor Valorum's government as Vice Chair. During the Invasion of Naboo in 32 BBY, Queen Padmé Amidala traveled to the galactic capital seeking Republic intervention against the Trade Federation's occupation of her homeworld. Although Valorum was removed from office by a Vote of No Confidence, Amedda retained his position under Palpatine, the senator of Naboo who was elected as the new Supreme Chancellor. He served as one of Palpatine's advisors during the Separatist Crisis; when Amedda recommended giving emergency powers to the Chancellor, Junior Representative Jar Jar Binks successfully proposed the motion to the Senate, allowing Palpatine to organize legions of clone troopers from Kamino into the Grand Army of the Republic in 22 BBY.

Amedda continued to serve in the Office of the Chancellor during the Clone Wars, supporting Palpatine's decisions as a wartime leader. With the execution of Order 66 against the Jedi Order, Amedda witnessed the ascension of Palpatine—the Sith Lord Darth Sidious—as Emperor of the galaxy in 19 BBY. Amedda retained his power in the New Order, serving as Grand Vizier in the Imperial Ruling Council. After the Emperor was killed in 4 ABY, Amedda was forced to serve as a figurehead for Fleet Admiral Gallius Rax, the self-styled Counselor to the Empire. Following the Battle of Jakku in 5 ABY, Amedda surrendered the Empire to the New Republic by signing the Galactic Concordance. The Imperial government on Coruscant was replaced by a powerless provisional government with Amedda as its nominal leader. Amedda was remembered by history as a weak-willed sycophant of the Emperor."
Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human,"Captain Gregar Typho was a Human male who served as head of security for Senator Padmé Amidala during the Separatist Crisis and Clone Wars. A quiet, simple man native to the backwater world of Naboo, Typho made a name for himself as a Junior Palace Guard during the Battle of Naboo in 32 BBY, in which he fought with distinction, suffering several injuries including the loss of his left eye. Typho then became the personal bodyguard and security advisor for Padmé Amidala in 24 BBY when she abdicated the throne and became a Senator; he inherited the position from his uncle, Quarsh Panaka, who served as Typho's mentor for much of his life. Typho quickly fell in love with the Senator, but he knew their social castes were too different for any relationship to form. When Amidala's life came under threat in 22 BBY, Typho's paranoia of an assassination attempt coinciding with the Senator's visit to Coruscant to vote on the Military Creation Act saved her life, when a decoy handmaiden was killed in her place. Typho continued to serve Amidala during the Clone Wars, traveling on several diplomatic missions for her.

In 19 BBY, Amidala went to Mustafar to find her husband, Jedi Knight Anakin Skywalker—and never returned. A mourning Typho attended her funeral, feeling guilty for having let her go to Mustafar in the first place. He ultimately decided to travel to Coruscant to find her killer and avenge Amidala's death, but it was months before he could get leave from his duties. During this time, he worked with former Jedi Ferus Olin against the Empire on Naboo. A year after the Declaration of a New Order, Typho finally made it to Coruscant, and eventually came to the conclusion that Amidala had been ""killed"" by Darth Vader, Dark Lord of the Sith. Typho lured Vader into a trap and tried to kill him, but the Sith's command of the Force was too strong for him, and Vader killed Captain Typho."
