name,eye_color,gender,species,description
Cathea,NaN,Female,Human,"During the [[Battle of Ylesia]], which took place during the [[Galactic Civil War/Legends|Galactic Civil War]], Cathea and other children such as [[Kryss P'teska]], [[Aeron]] and [[Tym]] were abandoned by their parents who have been enthralled by the [[Exultation]]. Cathea and the children hid together in a basement and were eventually found by [[Han Solo/Legends|Han Solo]] and [[Chewbacca/Legends|Chewbacca]] after the raid.Since the building was set to explode through demolition bombs in only a matter of minutes, the rescuers had no other option but to take them with themselves.Whereas [[Han Solo/Legends|Han Solo]] intended to drop the children off at the next [[spaceport]], [[Chewbacca/Legends|Chewbacca]] advocated for taking them to [[Corellia/Legends|Corellia]].Having been tasked by the [[Hutt/Legends|Hutt]] [[Jabba Desilijic Tiure/Legends|Jabba Desilijic Tiure]] to bring a load of [[Spice/Legends|spice]] from [[Kessel/Legends|Kessel]] to [[Tatooine/Legends|Tatooine]], they were discovered by an [[Imperial Navy/Legends|Imperial patrol]]. Cathea and three other children helped [[Han Solo/Legends|Han]] to jettison the illegal cargo in order to evade arrest. The [[Smuggler/Legends|Smuggler]] convinced the [[Imperials]] that he was taking the children to [[Corellia/Legends|Corellia]]. Since the Captain [[Tybert Capucot]] insisted to escort them, the [[Millennium Falcon/Legends|Millennium Falcon]] dropped the children off at [[Corellia/Legends|Corellia]], thus returning Cathea back to her homeplanet."
Kee (Devaronian),NaN,Female,Devaronian,"{{Quote|Flattery gets you exactly nothing, Imp.|Kee|Legacy 16: Claws of the Dragon, Part 3}}[[File:Keeandchak23.jpg|thumb|left|150px|[[Chak (Wookiee)|Chak]] with Kee.]]When [[Cade Skywalker]] visited [[Rik's Cantina]] on [[Coruscant/Legends|Coruscant]] in [[137 ABY]], she threatened him with a [[Blaster pistol/Legends|blaster pistol]], hoping he could reveal where her former crew members, [[Jariah Syn]] and [[Deliah Blue]] had absconded with the ''[[Grinning Liar]]'', which they had rented after leaving Cade's employ. Unfortunately, Cade was unable to help her or [[Chak (Wookiee)|Chak]], though he made a joking pass at her.After Cade became enthralled to the [[One Sith|Sith]], Kee along with Chak joined the crew of the Mynock in Cade's rescue as a necessary step to reaquiring the ''Grinning Liar'' which had somehow ended up in the hands of [[Rav]].Kee, along with Chak, Deliah Blue, and Jariah Syn, were later hired by [[Morrigan Corde]] to help rescue Cade, who was her son. She assisted Syn in attaching miniature cameras to [[Yuuzhan Vong]] bugs Corde obtained from the Empire. After three weeks, when they finally managed to locate Cade and his attempt to escape the [[Temple of the Sith]], Kee commented on how he is ""chucking [[Darth Talon|Darth Hottie]] out the [[Airlock/Legends|airlock]].Kee flew with Chak, Corde, Blue and Syn in the ''Mynock'' over the Temple. She made a sarcastic joke about one of the craziest things Syn has ever done. The mission ended in Cade's escape from the Sith.She later accompanied Chak, Cade, and Syn in an attempt to get the ''Grinning Liar'' back from Rav. After retrieving the ship, she wished Cade well and asked him to say goodbye to Blue for her. When he told her that the two weren't interacting, the Devaronian called him a [[Nerf herder/Legends|nerfherder]] and encouraged him to talk to her."
Ar'alani/Legends,NaN,Female,Chiss,"Shortly before [[27 BBY/Legends|27 BBY]], Ar'alani commanded the force that [[Battle between the Chiss and Yuuzhan Vong|defeated]] a scouting party of [[Yuuzhan Vong]]. Shortly afterward, she arrived at [[Crustai]] to intervene in the actions of [[Commander/Legends|Commander]] [[Mitth'raw'nuruodo/Legends|Mitth'raw'nuruodo]] against the [[Vagaari]], and to investigate the appearance of the Human smugglers [[Dubrak Qennto]], [[Maris Ferasi]] and [[Jorj Car'das]]. The Chiss were concerned that the [[Galactic Republic/Legends|Galactic Republic]] and the Yuuzhan Vong might be in league and coordinating attacks against the [[Chiss Ascendancy/Legends|Chiss Ascendancy]].Despite her frequent clashes with Thrawn over the morality of his tactics, her duplicitous aid enabled the Force Commander to lure the Vagaari into a trap. After Mitth'raw'nuruodo successfully captured a Vagaari 'treasure' ship, she backed him in opposing the [[Chaf family/Legends|Chaf family]], who sought the spoils of war for their own ends. Syndic Mitth'ras'safis 'requested' her to look into the activities of Thrawn after the apparent loss of the ''Whirlwind'', yet she covertly allied herself with Thrawn again, lying to various members of the CEDF about Jorj Car'das when she 'forgave' Thrawn for allowing the 'spy' to escape. In this instance her concern for the safety of the Chiss overrode the strict codes of war forbidding preemptive strikes, as Car'das's escape was a lure designed by Thrawn for the purpose of capturing both the Vagaari and [[Outbound Flight Project]]. Ar'alani was even actively involved in the next phase of the operation; liberating the [[Geroon]] home world. While this may have been an entirely innocent gesture on her part, this is doubtful, as her absence allowed Thrawn to provide data on the Vong to [[Kinman Doriana]], in exchange for his loyalty and assistance in eliminating the Vagaari and the Outbound Flight."
Hess'irolia'nuruodo,NaN,Female,Chiss,"{{Quote|As an officer of the Expansionary Defense Force, I believe it is my duty to ensure the safety and security of the Chiss realm. That directive, as you are well aware, supersedes all others.|[[Commander/Legends|Commander]] Irolia|The New Jedi Order: Force Heretic II: Refugee}}In [[28 ABY/Legends|28 ABY]], Irolia was in command of the [[Chiss/Legends|Chiss]] [[Frigate/Legends|frigate]] that intercepted the ''[[Jade Shadow]]'' during its mission to the [[Unknown Regions/Legends|Unknown Regions]], and escorted it to [[Csilla/Legends|Csilla]]. To the eyes of [[Luke Skywalker/Legends|Luke Skywalker]], she seemed no older than his niece [[Jaina Solo Fel|Jaina]], then twenty [[Standard year/Legends|years]] old&amp;mdash;she may even have been younger.Irolia claimed to be an [[Officer/Legends|officer]] of the [[Chiss Expansionary Defense Force]], but instead of the predominantly black jumpsuits of most CEDF officers, she wore a burgundy uniform with black flashes, a color-scheme previously only seen among troops from [[Grand Admiral/Legends|Grand Admiral]] [[Mitth'raw'nuruodo/Legends|Thrawn's]] rogue [[Household Phalanx]]. Also, her ship was escorted by [[Nssis-class Clawcraft|''Nssis''-class Clawcraft]], hybrid TIE-series starfighters that had previously only been seen in combat with House Phalanx forces."
Kambrea,NaN,Female,Devaronian,"Kambrea had recruited many Devaronians into the Diversity Alliance through skilled promotion of its beliefs including punishing the [[Human/Legends|Human]] species for their atrocities under the [[Humanocentrism|Humanocentric]] [[Galactic Empire/Legends|Galactic Empire's]] [[New Order/Legends|New Order]].Following reports of Diversity Alliance atrocities on [[Ryloth/Legends|Ryloth]], including keeping Humans slaves at the [[Ryll/Legends|ryll]] mines and stockpiling weapons, a [[New Republic/Legends|New Republic]] inspection team was sent to the planet. Kambrea then took them on a propaganda tour of a large city on Ryloth. However, after the tour, [[Luke Skywalker/Legends|Luke Skywalker]] - the leader of the inspection team - insisted on visiting the ryll mine where it had been alleged that the Diversity Alliance was keeping Human slaves. Unfortunately, the Humans had been replaced by zealous [[Twi'lek/Legends|Twi'lek]] workers from the surrounding cities. Despite this, the other members of the inspection team [[Lusa]], [[Sirrakuk]] and [[Cilghal]] insisted on visiting the loading dock.There, Kambrea claimed that the crates there were food and medicinal supplies for alien colonies which she claimed that the New Republic had abandoned. Knowing they were actually storing weapons, and in frustration, Sirraluk smashed open a crate marked ""food"", exposing the weapons inside. In response, Kambrea ordered her troops to open fire and a gunbattle ensued. During the [[Battle of Ryloth (Diversity Alliance Crisis)|battle]], Kambrea was crushed by a wall of crates, thus killing her."
Vien'sai'Malloc,NaN,Female,Devaronian,"Vien'sai'Malloc was known as one of the incorruptible senators in the [[Galactic Republic/Legends|Republic]]. However, this was not so; after the start of the [[Clone Wars/Legends|Clone Wars]], she disagreed with [[President]] [[Aven'sai'Ulrahk]]'s policy of siding with the Republic, and secretly began establishing a [[Confederacy of Independent Systems/Legends|Separatist]] base on the [[Blue Mountains]], allowing the [[Confederate Navy]] to disrupt Republic resupply missions along the [[Corellian Trade Spine/Legends|Corellian Trade Spine]].[[File:Aurra_Vien-sai-Malloc.jpg|thumb|left|180px|Aurra Sing makes her point to Vien.]]Six months after the [[First Battle of Geonosis/Legends|First Battle of Geonosis]], Elsah discovered what her colleague was doing, and planned to tell the [[Jedi/Legends|Jedi]]. Vien hired [[Aurra Sing/Legends|Aurra Sing]] to assassinate Elsah, as well as take care of the Jedi task force that had been sent to Devaron to investigate. When [[Jedi Knight/Legends|Jedi Knight]] [[Aayla Secura/Legends|Aayla Secura]] and [[Jedi Master/Legends|Jedi Masters]] [[An'ya Kuro]] and [[Tholme/Legends|Tholme]] went undercover, Vien revealed the coordinates of the Separatist base to Secura and was later arrested. Despite her wish for a trial by her peers in the Senate, President Aven'sai'Ulrahk sentenced her to [[Death/Legends|death]]."
Dagga Marl,NaN,Female,Human,"In exchange for one kilogram of [[Glitterstim/Legends|glitterstim]]&amp;mdash;which had virtually replaced other currency on [[Ylesia/Legends|Ylesia]]&amp;mdash;every week, plus a bonus if he required her to kill someone, Marl kept a close eye on Sal-Solo, which she considered a challenge. Earlier in her career, she had worked as an [[Assassin/Legends|assassin]] for the Ylesian Senate, and as a [[Bounty hunter/Legends|bounty hunter]].&lt;ref name=""NJOY""&gt;''[[The New Jedi Order: Ylesia]]''&lt;/ref&gt;"
Klis Joo,Red,Female,Duros,"Born to [[Duros/Legends|Duros]] parents on the world of [[Duro/Legends|Duro]], even as a child Klis Joo demonstrated a general aptitude in the use of technology that was common to her species. During her very early years of childhood, Joo was identified to be [[Force-sensitive/Legends|Force-sensitive]] and sent to the [[Jedi Temple]] on [[Coruscant/Legends|Coruscant]] for [[Jedi training/Legends|training]] in the ways of [[The Force/Legends|the Force]]. At the [[Jedi academy|Temple academy]], Joo befriended fellow [[Jedi Initiate|Initiate]] [[Nerra Ziveri]], and the pair eventually [[Jedi Initiate Trials|graduated]] the academy and were selected as [[Padawan/Legends|Padawans]] by two [[Jedi Master/Legends|Jedi Masters]]. Under her tutor, Joo traveled [[The galaxy/Legends|the galaxy]], learning to temper her emotions and using her persistent nature to eventually pass the [[Jedi Trials/Legends|Trials of Knighthood]]. Made a [[Jedi Knight/Legends|Knight of the Republic]] by the [[Jedi High Council/Legends|Jedi High Council]], Joo went onto to pursue individual studies in the ways of the [[Jedi Consular]].&lt;ref name=""g"" /&gt;Traveling around the galaxy on solo missions for the High Council, Joo returned to her homeworld in an attempt to learn more about her people's struggles and aid them in whatever way she could. However, it wasn't long before Joo became uncomfortable when confronted with her people's deference and she soon returned to Coruscant. Around this time, Joo met [[Corellian/Legends|Corellian]] mechanic [[Bran Isken]], appreciating his skills and commending him for aiding a Duros couple in need.&lt;ref name=""g"" /&gt; After working out of Coruscant for a time, Joo's old friend and peer Master Ziveri invited the Duros to teach at the experimental [[Almas Academy|academy]] on [[Almas]]. Accepting the invitation, Joo arrived in [[53 BBY/Legends|53 BBY]] only to find that Ziveri had mysteriously left the academy. Again growing uncomfortable with her situation, Joo found teaching dull and often grew impatient with her students.&lt;ref name=""g"" /&gt;Making frequent visits to the nearby settlement of [[Forard]], a small town servicing the academy's needs, Joo quickly accepted the office of [[Governor/Legends|governor]] when the position was left vacant after her predecessor passed away. Striving to improve conditions in the small town, Joo raised funding to expand and upgrade the local [[Spaceport/Legends|spaceport]], bring the facility up to high standards with twenty berthing bays. To fill the empty position of mechanic magister, Joo contacted her old friend Bran Isken, offering him the job which he accepted.&lt;ref name=""g"" /&gt;"
Zeami,NaN,Female,NaN,"A [[Force-sensitive/Legends|Force-sensitive]] [[Near-Human]], Zeami was [[Jedi training/Legends|educated]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]] at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]]. A member of a [[Jedi Initiate Clan/Legends|Initiate clan]] under the instruction of [[Grand Master/Legends|Grand Master]] [[Yoda/Legends|Yoda]], Zeami befriended fellow [[Jedi Initiate]] [[Iguni]] at a young age. Selected as a [[Padawan/Legends|Padawan]] by a [[Jedi Master/Legends|Jedi Master]], Zeami constructed a [[Lightsaber/Legends|lightsaber]] which she would wield in battle.&lt;ref name=""EE"" /&gt;When the [[Clone Wars/Legends|Clone Wars]] erupted between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]], Zeami took up the rank of [[Jedi Commander/Legends|Commander]] in the [[Grand Army of the Republic/Legends|Grand Army of the Republic]]. During the final year of the war, Zeami was stationed on Coruscant when [[Supreme Commander of the Droid Armies|General]] [[Grievous/Legends|Grievous]] launched a [[Battle of Coruscant/Legends|surprise attack]] on the capital world. Alongside Padawans Iguni and [[Zoi]], Zeami rushed out to join in the fray despite orders to remain at the Temple after being convinced by Iguni it was the right thing to do. Together with her peers, Zeami helped take out several [[B2 super battle droid/Legends|B2 super battle droids]], [[Octuptarra combat tri-droid]]s and at least one [[DSD1 dwarf spider droid/Legends|DSD1 dwarf spider droid]] before both she and Zoi were injured. Upon seeing his friend injured, Iguni took hold of her limp body and created a [[Telekinesis/Legends|whirlwind]] in [[The Force/Legends|the Force]] which surrounded the two of them and damaged everything nearby, including Zoi.&lt;ref name=""EE"" /&gt;[[File:Zeami Hurt.jpg|thumb|left|Zeami, injured during the [[Battle of Coruscant/Legends|Battle of Coruscant]].]]It was at this point that Iguni's [[Jedi Master/Legends|master]], [[Mace Windu/Legends|Mace Windu]], arrived and ordered Iguni to return to the Temple and take his friends with him, as he was causing more harm than good. Zeami was then taken to the [[Halls of Healing]], where she was treated for her wounds. Iguni soon visited her to apologize for his actions and, though she forgave him, he vowed to grow stronger in the Force so that he could protect his friends. Zeami went back to her training along with her friends, where both she and Zoi would often check up on Iguni as he practiced his [[Lightsaber/Legends|lightsaber]] techniques with Master Windu. It was soon after this that Iguni had a [[Force vision/Legends|vision]] of [[Anakin Skywalker/Legends|Anakin Skywalker]] killing many Jedi and turning to the [[Dark side of the Force/Legends|dark side]].&lt;ref name=""EE"" /&gt;"
Maris Ferasi,NaN,Female,Human,"Maris Ferasi was born on [[Corellia/Legends|Corellia]] during the last decades of [[Galactic Republic/Legends|Galactic Republic]]. She was idealistic and believed the galactic government to be corrupted. To protest against the corruption, Ferasi hooked up with small-time [[Smuggler/Legends|smuggler]] [[Dubrak Qennto]], a fellow Corellian. During her time on board Qennto's [[Starship/Legends|ship]] ''[[Bargain Hunter]]'', Ferasi became accustomed to Qennto's temperament. Around [[27 BBY/Legends|27 BBY]] Ferasi and Qennto were joined by third member of the crew, [[Jorj Car'das]], who acted as a [[Navigator/Legends|navigator]].&lt;ref name=""OBF"" /&gt;When the group was transporting furs and hidden [[firegem]]s to a [[Hutt/Legends|Hutt]] gangster named [[Drixo]], [[Progga]]&amp;mdash;Drixo's rival&amp;mdash;ambushed the ''Bargain Hunter''. To escape the Hutt, the smuggling group made a risky jump into [[Hyperspace/Legends|hyperspace]], but their [[Hyperdrive/Legends|hyperdrive]] [[Engine/Legends|engine]] was damaged, stranding them far into the [[Unknown Regions/Legends|Unknown Regions]] of the [[Galaxy/Legends|galaxy]]. Progga had followed their jump and moved to attack them again, but instead both ships fell under attack from a [[Picket Force Two|local patrol]]. ''Bargain Hunter'' was captured in a [[Conner net|shock net]], which disabled the ship's electronic systems, while Progga's ship was destroyed. The leader of the patrol, [[Commander/Legends|Commander]] [[Mitth'raw'nuruodo/Legends|Mitth'raw'nuruodo]] of the [[Chiss Expansionary Defense Force]], captured Ferasi and her two companions, taking them and their ship to his [[Crustai base|base]] in [[Crustai system]].&lt;ref name=""OBF"" /&gt;During her stay at the base, Ferasi became fascinated by the [[Chiss/Legends|Chiss]] commander, which caused friction between her and Qennto. Together with Car'das, Ferasi attended language lessons with Thrawn&amp;mdash;the two Humans teaching [[Galactic Basic Standard|basic]] to the commander, who taught them Chiss language [[Cheunh/Legends|Cheunh]] and local trade-language [[Minnisiat]], in return.&lt;ref name=""OBF"" /&gt;Maris asked to accompany Thrawn and Car'das when they went to investigate the [[Battle of the Geroon homeworld|Vagaari attack]]. Thrawn decided to accommodate her, and she and Car'das accompanied him on the ''[[Springhawk/Legends|Springhawk]]''. Maris supported Thrawn even when he attempted capture of one of the Vagaari's [[Gravity well projector/Legends|Gravity-well projectors]]; a dangerous task. At one point during the battle Thrawn called for a close-up on the [[Hull/Legends|hull]] of one of the opposing [[Vagaari warship|warships]] and discovered that in each of the [[Zero-g plastic bubble]]s a slave was held. When Maris saw this she ordered Thrawn to find a way to destroy the warships without hurting the slaves, and then got mad at him when he said he could not. She soon forgot about it, however, when there appeared a sudden flash of light and subsequent disintegration of part of the canopy. When the dust cleared, she saw Thrawn laying on the floor, wounded, with a tear in his [[Enviro-suit|Vacc suit]]. She and Car'das rushed to him and tried to fix the rip with a [[Sealant patch]], but it would not stick to the material. Maris went chest-to-chest with Thrawn to stop the air from leaking out of his suit with her hands clasped behind his back. She stayed this way until two Chiss came with a bigger patch and transported him to a medical room. One of them declared that she had saved Thrawn's life, and Thrawn himself expressed his gratitude to her when he was better.When they returned to base, they discovered Qennto's aggressive behavior had gotten him thrown in the brig. She convinced them to release him, but Qennto knew about Maris's 'esteem' for Thrawn and became so hostile that both he and Mavis were assigned escorts whenever they tried to leave their room.When Maris and [[Dubrak Qennto]] returned to Republic space after the destruction of ''[[Outbound Flight]]'', they managed to pay back their debt to Drixo and continue their smuggling activities. It is unknown what happened to her after that, but at one point Zahn had planned to let her join the Rebellion.&lt;blockquote&gt;""''I thought about doing a trilogy before [the] Legends [changeover] was done—I’ve forgotten her name, but the young woman in Outbound Flight who becomes very close to Thrawn. I had an idea where she would eventually work with the Rebel Alliance using some of Thrawn’s techniques and details and such. That will never come to pass now. But I would like to see—she has some good possibilities. Bringing her back would be interesting."" ''&lt;ref&gt;Interview with Timothy Zahn: https://www.dailydot.com/parsec/star-wars-timothy-zahn-expanded-universe-awesome-con-interview/&lt;/ref&gt;&lt;/blockquote&gt;Ferasi, along with [[Jorj Car'das]], would later be known to the Chiss as [[The Visitors]] due to their teaching Basic to the Chiss while they were guests/captives of Commander Thrawn."
Nima'tar,NaN,Female,Twi'lek,"Nima'tar was the lead singer in a band, which had toured [[The galaxy/Legends|the galaxy]] and ended up playing for [[Jabba Desilijic Tiure/Legends|Jabba]] the [[Hutt/Legends|Hutt]]. She toured with the band to pay for her tuition and the time to share her thesis.During their performance, she witnessed [[Unidentified Twi'lek slave girl|another twi'lek girl]] defy Jabba and being fed to [[Jabba's rancor|his pet rancor]].Her band sold her into [[Slavery/Legends|slavery]] to get off-world and Nima'tar remained Jabba's slave, working on her thesis. When [[Oola/Legends|Oola]] first arrived at the [[Jabba's Palace|palace]], Nima'tar began to fear for her own life, knowing that Jabba was going to replace her. She managed to escape with many of the notes she had taken, with the help of [[Tamtel Skreej/Legends|Tamtel Skreej]]."
Bogg Tyrell/Legends,Blue,Female,Aleena,"[[File:Seboca Bogg.png|thumb|left|220px|Bogg and Seboca during the chase between Anakin Skywalker, Obi-Wan Kenobi and Zam Wesell]]Bogg was known to enjoy wealth and the high life during her time on [[Coruscant/Legends|Coruscant]]. She even dated [[Dug/Legends|Dug]] holostar [[Seboca/Legends|Seboca]]; the two were joyriding in an [[Airspeeder/Legends|airspeeder]] in [[22 BBY/Legends|22 BBY]] when they were almost hit by [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]] dangling from [[ASN-121/Legends|ASN-121]], after the failed attempt to assassinate [[Senator/Legends|Senator]] [[Padmé Amidala/Legends|Amidala]]. Afterwards, Bogg went to get a drink at [[Dex's Diner/Legends|Dex's Diner]], coincidentally leaving the café&amp;mdash;apparently inebriated&amp;mdash;shortly after Obi-Wan entered the establishment looking for information on the weapon that had killed [[Zam Wesell/Legends|Zam Wesell]]."
Tannis (Jedi),NaN,Female,Omwati,"A [[Force-sensitive/Legends|Force-sensitive]] [[Omwati/Legends|Omwati]], Tannis was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]] after being located on [[Coruscant/Legends|Coruscant]]. Ascending to the rank of [[Jedi Master/Legends|Jedi Master]], Tannis was appointed as [[Headmaster/Legends|Headmistress]] of the [[Teyan Praxeum]], a [[Jedi academy]] on the planet [[Teya IV]]. A proponent of initiating all Forceful [[Sentience/Legends|sentients]] within the Order, Tannis served as a [[Jedi recruiter|recruiter]] and often traveled the galaxy to find new students to train with her on Teya IV. During her travels to [[Alderaan/Legends|Alderaan]] in [[4000 BBY]], Tannis discovered a family with two Forceful children living near [[Lir Lake]]. Testing both [[Vici Ramunee|Vici]] and [[Veni Ramunee]], she deemed them eligible for Jedi training and took them to the Teyan Academy to learn the ways of the Jedi.&lt;ref name=""TMDF"" /&gt;"
Brusela,NaN,Female,Human,"[[Renn Tharen]], wanting to honor his mother and mother-in-law both, yet not wanting his daughter to be stuck with either of their names, combined the first syllables of their names, Brusela and [[Iaphagena]], to make Bria."
Tyresi Gurtt,NaN,Female,Human,"A [[Sexes/Legends|female]] [[Human/Legends|Human]], Gurtt was a [[Eyttyrmin Batiiv]] [[Pirate/Legends|pirate]] serving along [[Jacob Nive]]. She later became a [[Colonel/Legends|Colonel]] and became a crew member of the ''[[Invidious]]'' after the [[Second Battle of Xa Fel]], under the command of [[Moff/Legends|Moff]] [[Leonia Tavira]]. When [[Corran Horn]] and a group of [[Jedi/Legends|Jedi]] attack the [[Starship/Legends|ship]], Gurtt was offered immunity with her cooperation.{{Char-stub}}"
Caet Shrovl,NaN,Female,Shistavanen,"She was raised on [[Uvena III]], her mother's home, although she was not from that planet. As a result, she was largely alone in her upbringing. She joined the [[Khuiumin Survivors]] in search of her mate. Her rare condition made her extremely sensitive to sunlight to the point she wore a heavy cloak and darkened goggles during the day to protect herself. However, this made her particularly skilled in [[Starfighter combat/Legends|dogfights]] that took place in areas of [[Realspace/Legends|realspace]] that were devoid of natural light, referred to as ""[[voidfight]]s"".[[Corran Horn]] met her while he masqueraded as [[Jenos Idanian]], a pilot that flew for the Survivors. Their first meeting came while Corran was trying to portray himself as a bully and threw his neighbor out of the nicer apartment next to him. Her fang-filled snarl when she answered his pounding announcement at her door evoked a ""nice to meet you"" from Corran who quickly went on his way.Their next encounter was after he flew a pirate mission with her. They crossed, as Corran forced her to allow a crippled opponent to escape, and Corran received a scar and a little respect for his efforts. The two of them, along with [[Timmser]] &amp;mdash; another Survivor pilot, ended up becoming good friends and spending much of their free time together. The pair shared their plights and reasons for being among the [[Invids]], though out of necessity, Jenos' reason for being there was slightly different from that of Horn's. Under Horn's tutelage she became a much better pilot; he was even able to get her to open up about her reclusiveness and found out that she had been taken advantage of by [[Remart Sasyru]], yet another Survivor pilot and nemesis of Idanian.Caet, along with Timmser, taunted Corran/Jenos about the fact that he was jealous about Leonia Tavira's favoring Sasyru instead of him, a point which Corran at first flatly denied. These taunts, however, coupled with the wise statements of the [[Caamasi]] [[Elegos A'Kla]] forced Corran into introspection, and ultimately allowed him to steer clear of the [[Dark side of the Force/Legends|Dark Side's]] temptations that Tavira embodied.When Corran terrorized the [[Courkrus]]'s hive of Invid pirate crews, she along with Timmser fled the planet in a [[Hyperdrive/Legends|hyperdrive]]-equipped [[Clutch (fighter)|Tri-fighter]]."
Marfa Thorbin,NaN,Female,Human,"Born on [[Alderaan/Legends|Alderaan]], Marfa Thorbin attended an off-[[Planet/Legends|world]] [[University/Legends|university]], studying to become an aquatic [[xenologist]] with the intention of exploring [[Ocean/Legends|oceanic]] planets. While at university, she met and fell in love with [[Kane Griggs]]. After several years they agreed to become married, and she went home to inform her parents. While there, she and her family were [[Death/Legends|killed]] in the [[destruction of Alderaan]] by the [[Galactic Empire/Legends|Empire's]] [[DS-1 Orbital Battle Station/Legends|Death Star]].{{Char-stub}}"
Rillao,NaN,Female,NaN,"Upon witnessing Hethrir sentencing their [[Planet/Legends|homeworld]] of [[Firrerre/Legends|Firrerre]] to death and learning about Darth Vader's plans to turn their unborn child to the dark side, Rillao fled to a remote planet. She evaded capture for years and raised her son, [[Tigris]], who had been born without a connection to the Force. Eventually, Hethrir caught up with Rillao, putting her into a [[Torture/Legends|torture]] net on one of his [[Sleeper ship/Legends|sleeper ships]] and kidnapping Tigris. Fourteen years after the [[Battle of Yavin/Legends|Battle of Yavin]], [[Leia Organa Solo]] came upon Rillao while searching for her own missing children, convincing her to help her deal with Hethrir.After being reunited with Tigris, who Hethrir brainwashed into thinking his mother was a traitor who stole any Force potential Tigris may have had, and the defeat of Hethrir, mother and son chose to reacquaint themselves with each other, though the boy was hostile at first."
Halla,NaN,Female,Human,"The eccentric, Force-sensitive, old woman Halla lived on [[Mimban/Legends|Mimban]] where she was popular with the mining community. The [[Temple of Pomojema]] was known to hold the legendary [[Kaiburr crystal]], which she much sought; she spent seven years searching, often asking natives in return for [[Alcohol/Legends|alcoholic]] beverages.Claiming to be a master of [[The Force/Legends|the Force]], she struck a deal with [[Luke Skywalker/Legends|Luke Skywalker]] and [[Prince/Legends|Princess]] [[Leia Organa Solo|Leia Organa]] for them to help her find the crystal; if they did, Halla would help them get off the planet [[Mimban/Legends|Mimban]] on which they were stranded. She soon had to rescue Luke and Leia from a prison cell by using the Force to guide a food tray over to open the cell, and she later joined Luke and Leia to speed through the swampy lands of Mimban in a stolen craft, only to be encountered by a fearsome [[wandrella]].Halla escaped, and found Luke and Leia in a [[Thrella]] well. She instructed them to make their way through a tunnel in the well to meet up with her on the other side. Halla made her way to the opposite end of the tunnel, went down in it, but was then captured by the [[Coway]]. She was tied up and forced to watch Luke battle a Coway. When Luke won, Halla was released.She feasted with the Coway, but soon Luke sensed the Dark Lord's approach. The Coway and the [[Galactic Empire/Legends|Imperials]] fought a fierce underground battle until the Coway won, and Halla traveled with Luke and Leia to find the crystal at the temple. There she took it and gave it to Luke, who, after defeating [[Anakin Skywalker/Legends|Darth Vader]] and healing Leia's wounds, gave it back to her. She then left Mimban with Luke and Leia to join the [[Alliance to Restore the Republic/Legends|Rebel Alliance]], though not before admitting to Luke that rather than being a master of the Force, she was really a faker and a charlatan, capable of doing ""parlor tricks"" but little more."
Zan Pike,NaN,Female,NaN,"[[File:Zanpike.jpg|thumb|left|200px|Zan Pike]]Zan and Zu were born in [[23 BBY/Legends|23 BBY]], the daughters of famous [[Teräs Käsi/Legends|Teräs Käsi]] fighter [[Dux Pike]]. He died when they were infants, just before the start of the [[Clone Wars/Legends|Clone Wars]]. [[Dux Pike's wife|Their mother]] was a [[Bunduki/Legends|Bunduki]] [[Noble/Legends|noble]], who arranged for their education by the [[Followers of Palawa]].Zan and Zu went on to become Teräs Käsi masters themselves, and criminals for the highest bidder. She fought beside her sister in illegal fighting matches across the [[The galaxy/Legends|galaxy]]. In [[3 ABY/Legends|3 ABY]], [[Prince/Legends|Prince]] [[Xizor/Legends|Xizor]] had them hired to work for [[Black Sun/Legends|Black Sun]]. Following his death, they signed on to work with [[Spinda Caveel]], who sent them to acquire [[A-OIC]] and, later, to re-acquire him and the [[Human replica droid]] [[Guri]]. On this latter expedition, they encountered the [[Heroes of Yavin/Legends|Heroes of Yavin]], and decided to cut their losses, quitting their employment with Caveel. When he drew his blaster to keep them on task, they killed him.She co-owned the ''[[Steel Hand]]'', a two-person starfighter, with her sister, though Zu was its pilot."
Umolly Darm,NaN,Female,Human,"She was one of the people that found [[Tsil]]s to sell to [[Loronar Corporation]]. When she learned of their sentience, she gladly gave up searching for them and joined the [[Theran Listener]] [[Be]] in search of [[Rock ivory]] and other minerals to sell in small quantities offworld. She also gave [[Callista Ming]] a ride off of Nam Chorios.{{Char-stub}}"
